snr_db,channel,rx_profile,preset,status,report_path,edge_f1,depth_psnr,seg_mIoU,text_cer,crc_text,crc_edge,crc_depth,crc_seg
1.0,rayleigh,none,eep,OK,outputs/rayleigh/RXec_text-none_edge-none_depth-none_seg-none__linkH74_i256_hdr5_rep[t1e1d1s1]__map-permute/snr1/EEP__N512CP64__uepp-rx-none-snr-1.0-preset-eep/20250925-232006/report.json,0.45458012179761254,16.030753320206927,,0.9972714870395635,False,False,False,False
1.0,rayleigh,none,snr1_none_base,OK,outputs/rayleigh/RXec_text-none_edge-none_depth-none_seg-none__linkH74_i256_hdr5_rep[t1e1d1s1]__map-permute/snr1/UEP_preset-snr1_none_base__N512CP64__uepp-rx-none-snr-1.0-preset-snr1_none_base/20250925-232104/report.json,0.567402368945702,17.79322186408158,,0.9972714870395635,False,False,False,False
1.0,rayleigh,none,snr1_none_drop_seg,OK,outputs/rayleigh/RXec_text-none_edge-none_depth-none_seg-none__linkH74_i256_hdr5_rep[t1e1d1s1]__map-permute/snr1/UEP_preset-snr1_none_drop_seg__N512CP64__uepp-rx-none-snr-1.0-preset-snr1_none_drop_seg/20250925-232205/report.json,0.6003316913296282,19.119181352932035,,1.0,False,False,False,False
1.0,rayleigh,none,snr1_none_geom_only,OK,outputs/rayleigh/RXec_text-none_edge-none_depth-none_seg-none__linkH74_i256_hdr5_rep[t1e1d1s1]__map-permute/snr1/UEP_preset-snr1_none_geom_only__N512CP64__uepp-rx-none-snr-1.0-preset-snr1_none_geom_only/20250925-232302/report.json,0.6043957135337524,18.967364764574583,,0.9972714870395635,False,False,False,False
6.0,rayleigh,none,eep,OK,outputs/rayleigh/RXec_text-none_edge-none_depth-none_seg-none__linkH74_i256_hdr5_rep[t1e1d1s1]__map-permute/snr6/EEP__N512CP64__uepp-rx-none-snr-6.0-preset-eep/20250925-232355/report.json,0.7411712649039094,22.56222689561185,,0.9972714870395635,False,False,False,False
6.0,rayleigh,none,snr6_none_base,OK,outputs/rayleigh/RXec_text-none_edge-none_depth-none_seg-none__linkH74_i256_hdr5_rep[t1e1d1s1]__map-permute/snr6/UEP_preset-snr6_none_base__N512CP64__uepp-rx-none-snr-6.0-preset-snr6_none_base/20250925-232451/report.json,0.8105278879934541,25.274886916753918,,0.9931787175989086,False,False,False,False
6.0,rayleigh,none,snr6_none_geom_plus,OK,outputs/rayleigh/RXec_text-none_edge-none_depth-none_seg-none__linkH74_i256_hdr5_rep[t1e1d1s1]__map-permute/snr6/UEP_preset-snr6_none_geom_plus__N512CP64__uepp-rx-none-snr-6.0-preset-snr6_none_geom_plus/20250925-232543/report.json,0.8248844884488449,25.912693811429442,,0.9959072305593452,False,False,False,False
12.0,rayleigh,none,eep,OK,outputs/rayleigh/RXec_text-none_edge-none_depth-none_seg-none__linkH74_i256_hdr5_rep[t1e1d1s1]__map-permute/snr12/EEP__N512CP64__uepp-rx-none-snr-12.0-preset-eep/20250925-232631/report.json,0.9538998519234837,34.561249399234356,,0.990450204638472,False,False,False,False
12.0,rayleigh,none,snr12_none_base,OK,outputs/rayleigh/RXec_text-none_edge-none_depth-none_seg-none__linkH74_i256_hdr5_rep[t1e1d1s1]__map-permute/snr12/UEP_preset-snr12_none_base__N512CP64__uepp-rx-none-snr-12.0-preset-snr12_none_base/20250925-232724/report.json,0.9596280370139639,36.96010163930327,,0.990450204638472,False,False,False,False
12.0,rayleigh,none,snr12_none_textplus,OK,outputs/rayleigh/RXec_text-none_edge-none_depth-none_seg-none__linkH74_i256_hdr5_rep[t1e1d1s1]__map-permute/snr12/UEP_preset-snr12_none_textplus__N512CP64__uepp-rx-none-snr-12.0-preset-snr12_none_textplus/20250925-232814/report.json,0.960082692366157,37.19965053165498,,0.0,True,False,False,False
